app,n,cohort_revenue,revenue_std,arpu
com.LoopGames.Domino,20,3.194236199688013,0.16497179523092192,0.15971180998440065
com.LoopGames.Freecell,1,0.255823354233424,0.0,0.255823354233424
com.LoopGames.Yatzy,5,0.46800666582156364,0.07564967791779276,0.09360133316431272
com.MojoGames.EraEvolution,1,0.014664763596374511,0.0,0.014664763596374511
com.Parkour.Master.Escape.Games,9,0.4975079160860279,0.07850241963127652,0.05527865734289199
com.Parkour.Master.Obby.Games,1,0.038728558567326425,0.0,0.038728558567326425
com.PixelMiller.UnrealChemist,1,0.0,0.0,0.0
com.PlayHallaGames.BallsNRopes,1,0.12065122365321143,0.0,0.12065122365321143
com.Polystation.BuildABabe,3,0.11270765195147253,0.05017648017660778,0.03756921731715751
com.RastleksGames.TheShootout,2,0.6418328384892075,0.20718308009238567,0.32091641924460373
com.SnackGamer.SpiderEvolutionRun,6,0.2611083077511591,0.0521284862264375,0.04351805129185985
com.SparksGames.JumWorldMatchPuzzleGame,14,0.02243318313686304,0.0027506841862951848,0.0016023702240616459
com.TikGames.DominoMaster,4,1.900089072053818,0.08605110498289965,0.4750222680134545
com.TinyBit.GameOfWords,1,0.0,0.0,0.0
com.TreetopCrew.EarthInc,1,0.0574903501314779,0.0,0.0574903501314779
com.WalkTalk.FlightMaster,2,0.4826644634050667,0.15845689472924465,0.24133223170253335
com.YsoCorp.MobileRun,99,0.5480311983602447,0.013810033633059281,0.005535668670305503
com.YsoCorp.MonsterBall,15,0.048100195402647865,0.006417936750739867,0.0032066796935098577
com.YsoCorp.RetroBattle,32,0.35669483880672886,0.02630539165056158,0.011146713712710277
com.YsoCorp.RiotEscape,37,0.34991683730027456,0.03435029685364396,0.00945721181892634
com.YsoCorp.SlashRoyal,8,0.03756565271428572,0.012423671864977316,0.004695706589285715
com.aaaudi.wordmaker,2,0.4633943782178215,0.18321557011896417,0.23169718910891074
com.abi.busjam.sortpuzzle,81,0.6195517086866297,0.020726459601834456,0.0076487865269954285
com.abi.royalcarcustom,1,0.09093846484571427,0.0,0.09093846484571427
com.abi.skewer.sort,1,0.23494899586155144,0.0,0.23494899586155144
com.action.shoot.healthy.guy,1,0.057187374915824436,0.0,0.057187374915824436
